id,num,NAME,lat,lng
"8258842","546406075",FIRST WATCH-GERMAN VILLAGE,39.952000,-82.998500
"8542726","576665392",CLADDAGH IRISH PUB,39.949900,-83.000300
"8542747","576667141",M RESTAURANT & BAR,39.954400,-83.005300
"9648419","667184147",MC DONALD'S,39.941700,-82.996200
"10530741","705625935",BAR GRILLE AREPAZO TAPAS,39.951400,-82.998800
"10577060","705918519",KATZINGER'S DELICATESSEN,39.952000,-82.996600
"10917646","707705032",FRED J SCHMIDT PACKING CO,39.946200,-82.991400
"11213707","711008805",PLANK'S BIER GARTEN,39.944000,-82.996900
"11552626","715440519",STAUSS,39.949600,-82.995800
"11597691","715925476",JAM RESTAURANT LLC,39.945700,-82.997900
"11778497","719152084",SKILLET,39.944400,-82.986000
"12169912","850951799",COLUMBUS BREWING CO,39.950600,-83.003900
"12720317","938125358",LIN'S WOK,39.951200,-83.002900
"12886775","963677273",BARCELONA,39.944300,-82.989900
"13171175","995525821",G MICHAEL'S BISTRO,39.950300,-82.995800
"471729","137603155",SOUTHEAST FISH & PRODUCE,39.949500,-82.971800
"471765","137607271",DONATOS PIZZA,39.938800,-82.968900
"471783","137609053",H JOHNSONS RESTAURANT & DAIRY,39.942900,-82.964000
"1850923","315283705",PAPA JOES PIZZA,39.926500,-82.965300
"1983211","364742304",CRAZY CHICKEN,39.947500,-82.982400
"3077838","403087032",MARK PI'S,39.952900,-82.979300
"3871561","408438719",LUNA BURGER LLC,39.948200,-82.981100
"4303588","414396096",SOUTHSIDE SANDWICHES,39.944200,-82.981900
"5129216","421692887",SCRAMBLER MARIE'S,39.951800,-82.983400
"7175086","439579436",PLANKS CAFE & PIZZERIA,39.948500,-82.982800
"7578586","476471289",FERO'S PIZZA & MORE,39.949400,-82.967700
"7578604","476474556",CHINA BEAR,39.933700,-82.963800
"7819473","498367960",PAPA JOHN'S PIZZA,39.946200,-82.982400
"8871432","607447125",SUBWAY,39.948500,-82.982300
"9728038","672565637",SUBWAY,39.952900,-82.979300
"9852443","681458055",PIZZA HUT,39.941700,-82.983000
"9852841","681493029",WING STREET,39.941700,-82.983000
"11514519","715089740",STEWART CARRY OUT,39.941200,-82.977500
"12171363","851220343",RALLY'S HAMBURGERS,39.933600,-82.983500
"12171377","851223750",PLANK'S CAFE & PIZZERIA DLVRY,39.948500,-82.982800
"12171378","851224006",SUBWAY,39.927400,-82.965400
"12721082","938218336",GRANDMA'S PIZZA & PASTA,39.938200,-82.983100
"471780","137608907",J & N CARRY OUT,39.942800,-82.955200
